metric,mean,ci_low,ci_high,n
bertscore_f1,0.735055,0.716870,0.753240,31
citation_precision,0.174194,0.134608,0.213779,31
citation_recall,0.564516,0.430146,0.698886,31
content_f1,0.237372,0.187510,0.287235,31
factual_consistency_normalized,0.524194,0.489324,0.559063,31
factual_consistency_score,3.096774,2.957295,3.236254,31
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.556452,0.512686,0.600218,31
llm_context_relevance,0.467742,0.413292,0.522192,31
llm_faithfulness,0.653226,0.575576,0.730876,31
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.654301,0.500961,0.807641,31
mrr@3,0.639785,0.480113,0.799457,31
mrr@5,0.654301,0.500961,0.807641,31
ndcg@10,0.542586,0.412494,0.672678,31
ndcg@3,0.513070,0.375046,0.651094,31
ndcg@5,0.542586,0.412494,0.672678,31
recall@10,0.564516,0.430146,0.698886,31
recall@3,0.500000,0.363661,0.636339,31
recall@5,0.564516,0.430146,0.698886,31
rouge_l_recall,0.439806,0.358338,0.521275,31
semantic_sim,0.754639,0.711506,0.797772,31
