metric,mean,ci_low,ci_high,n
bertscore_f1,0.773226,0.759434,0.787018,48
citation_precision,0.283333,0.255144,0.311523,48
citation_recall,0.906250,0.850456,0.962044,48
content_f1,0.406664,0.360133,0.453196,48
factual_consistency_normalized,0.526042,0.499782,0.552301,48
factual_consistency_score,3.104167,2.999129,3.209205,48
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.713542,0.648312,0.778771,48
llm_context_relevance,0.473958,0.440563,0.507354,48
llm_faithfulness,0.619792,0.565223,0.674360,48
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.877431,0.807519,0.947342,48
mrr@3,0.868056,0.790270,0.945841,48
mrr@5,0.877431,0.807519,0.947342,48
ndcg@10,0.838619,0.776905,0.900332,48
ndcg@3,0.811703,0.734671,0.888735,48
ndcg@5,0.838619,0.776905,0.900332,48
recall@10,0.906250,0.850456,0.962044,48
recall@3,0.843750,0.765693,0.921807,48
recall@5,0.906250,0.850456,0.962044,48
rouge_l_recall,0.491898,0.443603,0.540192,48
semantic_sim,0.850110,0.833598,0.866622,48
