metric,mean,ci_low,ci_high,n
bertscore_f1,0.740218,0.731334,0.749101,18
citation_precision,0.422222,0.327737,0.516707,18
citation_recall,0.768188,0.633748,0.902628,18
content_f1,0.305982,0.271425,0.340540,18
factual_consistency_normalized,0.555556,0.492228,0.618883,18
factual_consistency_score,3.222222,2.968912,3.475533,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.805556,0.696667,0.914444,18
llm_context_relevance,0.527778,0.473333,0.582222,18
llm_faithfulness,0.611111,0.529712,0.692510,18
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.821296,0.680809,0.961784,18
mrr@3,0.796296,0.630199,0.962394,18
mrr@5,0.821296,0.680809,0.961784,18
ndcg@10,0.727747,0.595829,0.859665,18
ndcg@3,0.670308,0.505502,0.835114,18
ndcg@5,0.737772,0.607902,0.867642,18
recall@10,0.768188,0.633748,0.902628,18
recall@3,0.598280,0.434943,0.761618,18
recall@5,0.768188,0.633748,0.902628,18
rouge_l_recall,0.261940,0.212310,0.311570,18
semantic_sim,0.841543,0.823958,0.859128,18
