metric,mean,ci_low,ci_high,n
bertscore_f1,0.746900,0.726483,0.767316,31
citation_precision,0.206452,0.193806,0.219097,31
citation_recall,0.741935,0.652521,0.831350,31
content_f1,0.261490,0.212010,0.310970,31
factual_consistency_normalized,0.500000,0.500000,0.500000,31
factual_consistency_score,3.000000,3.000000,3.000000,31
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.693548,0.619185,0.767912,31
llm_context_relevance,0.508065,0.465651,0.550478,31
llm_faithfulness,0.612903,0.534719,0.691088,31
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.745699,0.635092,0.856306,31
mrr@3,0.715054,0.584569,0.845539,31
mrr@5,0.745699,0.635092,0.856306,31
ndcg@10,0.639081,0.559371,0.718791,31
ndcg@3,0.586607,0.479814,0.693400,31
ndcg@5,0.639081,0.559371,0.718791,31
recall@10,0.741935,0.652521,0.831350,31
recall@3,0.629032,0.509070,0.748995,31
recall@5,0.741935,0.652521,0.831350,31
rouge_l_recall,0.470508,0.393846,0.547171,31
semantic_sim,0.796959,0.770166,0.823752,31
