metric,mean,ci_low,ci_high,n
bertscore_f1,0.735009,0.723329,0.746689,17
citation_precision,0.423529,0.323350,0.523709,17
citation_recall,0.772689,0.651793,0.893586,17
content_f1,0.320360,0.272918,0.367801,17
factual_consistency_normalized,0.573529,0.492004,0.655055,17
factual_consistency_score,3.294118,2.968017,3.620219,17
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.647059,0.535426,0.758692,17
llm_context_relevance,0.529412,0.471765,0.587059,17
llm_faithfulness,0.602941,0.508437,0.697445,17
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.962963,0.890370,1.035556,18
mrr@3,0.962963,0.890370,1.035556,18
mrr@5,0.962963,0.890370,1.035556,18
ndcg@10,0.770748,0.656727,0.884770,18
ndcg@3,0.762888,0.641556,0.884220,18
ndcg@5,0.782162,0.669123,0.895202,18
recall@10,0.763095,0.647572,0.878618,18
recall@3,0.664484,0.526113,0.802855,18
recall@5,0.763095,0.647572,0.878618,18
rouge_l_recall,0.277640,0.226349,0.328931,17
semantic_sim,0.831570,0.808105,0.855034,17
