metric,mean,ci_low,ci_high,n
bertscore_f1,0.744900,0.734235,0.755566,18
citation_precision,0.433333,0.336948,0.529719,18
citation_recall,0.763095,0.647572,0.878618,18
content_f1,0.311135,0.273134,0.349137,18
factual_consistency_normalized,0.527778,0.490429,0.565126,18
factual_consistency_score,3.111111,2.961717,3.260505,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_faithfulness,0.638889,0.548362,0.729416,18
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.962963,0.890370,1.035556,18
mrr@3,0.962963,0.890370,1.035556,18
mrr@5,0.962963,0.890370,1.035556,18
ndcg@10,0.769938,0.655176,0.884699,18
ndcg@3,0.754870,0.627732,0.882007,18
ndcg@5,0.781263,0.667436,0.895090,18
recall@10,0.763095,0.647572,0.878618,18
recall@3,0.656548,0.512509,0.800586,18
recall@5,0.763095,0.647572,0.878618,18
rouge_l_recall,0.275538,0.218473,0.332604,18
semantic_sim,0.845392,0.825022,0.865762,18
